==8750== NVPROF is profiling process 8750, command: ./add_two_matrix
==8750== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==8750== Profiling application: ./add_two_matrix
==8750== Profiling result:
==8750== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X2 (0)"
    Kernel: addMatrix(int*, int*, int*, int)
          1                               cf_executed                    Executed Control-Flow Instructions      765629      765629      765629
          1                               ldst_issued                        Issued Load/Store Instructions     5359382     5359382     5359382
          1                             ldst_executed                      Executed Load/Store Instructions     1914071     1914071     1914071
          1                       atomic_transactions                                   Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                      l2_atomic_throughput                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                     L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                       L2 Transactions (Texture Reads)     3062500     3062500     3062500
          1                     stall_memory_throttle                 Issue Stall Reasons (Memory Throttle)       0.32%       0.32%       0.32%
          1                        stall_not_selected                    Issue Stall Reasons (Not Selected)       0.71%       0.71%       0.71%
          1                 l2_tex_write_transactions                      L2 Transactions (Texture Writes)     1531250     1531250     1531250
          1                             flop_count_hp             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul          Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma         Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                 HP Instructions(Half)           0           0           0
          1                             sm_efficiency                               Multiprocessor Activity      99.96%      99.96%      99.96%
          1                        achieved_occupancy                                    Achieved Occupancy    0.917838    0.917838    0.917838
          1                                       ipc                                          Executed IPC    0.957812    0.957812    0.957812
          1                                issued_ipc                                            Issued IPC    1.541242    1.541242    1.541242
          1                    issue_slot_utilization                                Issue Slot Utilization      36.93%      36.93%      36.93%
          1                  eligible_warps_per_cycle                       Eligible Warps Per Active Cycle    3.320396    3.320396    3.320396
          1                           tex_utilization                             Unified Cache Utilization     Low (2)     Low (2)     Low (2)
          1                        shared_utilization                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          1                       ldst_fu_utilization                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                         cf_fu_utilization                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                    special_fu_utilization                     Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                        tex_fu_utilization                     Texture Function Unit Utilization     Low (3)     Low (3)     Low (3)
          1           single_precision_fu_utilization            Single-Precision Function Unit Utilization     Low (2)     Low (2)     Low (2)
          1           double_precision_fu_utilization            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                        flop_hp_efficiency                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                        flop_sp_efficiency                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
          1                            l2_utilization                                  L2 Cache Utilization     Low (3)     Low (3)     Low (3)
          1                          dram_utilization                             Device Memory Utilization    High (7)    High (7)    High (7)
          1             half_precision_fu_utilization              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
    Kernel: addMatrix2(int*, int*, int*, int)
          1                             inst_per_warp                                 Instructions per warp   23.999882   23.999882   23.999882
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency     100.00%     100.00%     100.00%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency      95.83%      95.83%      95.83%
